Ref_Name,fasttext_code,NLLB_Code,Duplicate_Flag,Missing_Flag
Croatian,hr,hrv_Latn,FALSE,FALSE
Hungarian,hu,hun_Latn,FALSE,FALSE
Armenian,hy,hye_Armn,FALSE,FALSE
Indonesian,id,ind_Latn,FALSE,FALSE
Icelandic,is,isl_Latn,FALSE,FALSE
Italian,it,ita_Latn,FALSE,FALSE
Javanese,jv,jav_Latn,FALSE,FALSE
Japanese,ja,jpn_Jpan,FALSE,FALSE
Kannada,kn,kan_Knda,FALSE,FALSE
Georgian,ka,kat_Geor,FALSE,FALSE
Kazakh,kk,kaz_Cyrl,FALSE,FALSE
Khmer,km,khm_Khmr,FALSE,FALSE
Kirghiz,ky,kir_Cyrl,FALSE,FALSE
Korean,ko,kor_Hang,FALSE,FALSE
Lao,lo,lao_Laoo,FALSE,FALSE
Limburgan,li,lim_Latn,FALSE,FALSE
Lithuanian,lt,lit_Latn,FALSE,FALSE
Luxembourgish,lb,ltz_Latn,FALSE,FALSE
Malayalam,ml,mal_Mlym,FALSE,FALSE
Marathi,mr,mar_Deva,FALSE,FALSE
Macedonian,mk,mkd_Cyrl,FALSE,FALSE
Maltese,mt,mlt_Latn,FALSE,FALSE
Burmese,my,mya_Mymr,FALSE,FALSE
Dutch,nl,nld_Latn,FALSE,FALSE
Norwegian Nynorsk,nn,nno_Latn,FALSE,FALSE
Occitan (post 1500),oc,oci_Latn,FALSE,FALSE
Panjabi,pa,pan_Guru,FALSE,FALSE
Polish,pl,pol_Latn,FALSE,FALSE
Portuguese,pt,por_Latn,FALSE,FALSE
Romanian,ro,ron_Latn,FALSE,FALSE
Russian,ru,rus_Cyrl,FALSE,FALSE
Sanskrit,sa,san_Deva,FALSE,FALSE
Sinhala,si,sin_Sinh,FALSE,FALSE
Slovak,sk,slk_Latn,FALSE,FALSE
Slovenian,sl,slv_Latn,FALSE,FALSE
Sindhi,sd,snd_Arab,FALSE,FALSE
Somali,so,som_Latn,FALSE,FALSE
Spanish,es,spa_Latn,FALSE,FALSE
Sardinian,sc,srd_Latn,FALSE,FALSE
Serbian,sr,srp_Cyrl,FALSE,FALSE
Sundanese,su,sun_Latn,FALSE,FALSE
Swedish,sv,swe_Latn,FALSE,FALSE
Tamil,ta,tam_Taml,FALSE,FALSE
Tatar,tt,tat_Cyrl,FALSE,FALSE
Telugu,te,tel_Telu,FALSE,FALSE
Tajik,tg,tgk_Cyrl,FALSE,FALSE
Tagalog,tl,tgl_Latn,FALSE,FALSE
Thai,th,tha_Thai,FALSE,FALSE
Turkmen,tk,tuk_Latn,FALSE,FALSE
Turkish,tr,tur_Latn,FALSE,FALSE
Uighur,ug,uig_Arab,FALSE,FALSE
Ukrainian,uk,ukr_Cyrl,FALSE,FALSE
Urdu,ur,urd_Arab,FALSE,FALSE
Vietnamese,vi,vie_Latn,FALSE,FALSE
Yoruba,yo,yor_Latn,FALSE,FALSE
Chinese,zh,zho_Hans,TRUE,FALSE
Chinese,zh,zho_Hant,TRUE,FALSE
Bavarian,bar,,FALSE,TRUE
Central Bikol,bcl,,FALSE,TRUE
Bishnupriya,bpy,,FALSE,TRUE
Russia Buriat,bxr,,FALSE,TRUE
Chavacano,cbk,,FALSE,TRUE
Dimli (individual language),diq,,FALSE,TRUE
Lower Sorbian,dsb,,FALSE,TRUE
Dotyali,dty,,FALSE,TRUE
Northern Frisian,frr,,FALSE,TRUE
Goan Konkani,gom,,FALSE,TRUE
Fiji Hindi,hif,,FALSE,TRUE
Upper Sorbian,hsb,,FALSE,TRUE
Lojban,jbo,,FALSE,TRUE
Karachay-Balkar,krc,,FALSE,TRUE
Lezghian,lez,,FALSE,TRUE
Northern Luri,lrc,,FALSE,TRUE
Eastern Mari,mhr,,FALSE,TRUE
Western Mari,mrj,,FALSE,TRUE
Mirandese,mwl,,FALSE,TRUE
Erzya,myv,,FALSE,TRUE
Mazanderani,mzn,,FALSE,TRUE
Neapolitan,nap,,FALSE,TRUE
Low German,nds,,FALSE,TRUE
Nepal Bhasa,new,,FALSE,TRUE
Pampanga,pam,,FALSE,TRUE
Pfaelzisch,pfl,,FALSE,TRUE
Piemontese,pms,,FALSE,TRUE
Western Panjabi,pnb,,FALSE,TRUE
Rusyn,rue,,FALSE,TRUE
Yakut,sah,,FALSE,TRUE
Scots,sco,,FALSE,TRUE
Tuvinian,tyv,,FALSE,TRUE
Veps,vep,,FALSE,TRUE
Vlaams,vls,,FALSE,TRUE
Wu Chinese,wuu,,FALSE,TRUE
Kalmyk,xal,,FALSE,TRUE
Mingrelian,xmf,,FALSE,TRUE
Arabic,ar,,FALSE,TRUE
Aragonese,an,,FALSE,TRUE
Avaric,av,,FALSE,TRUE
Azerbaijani,az,,FALSE,TRUE
Breton,br,,FALSE,TRUE
Chechen,ce,,FALSE,TRUE
Chuvash,cv,,FALSE,TRUE
Cornish,kw,,FALSE,TRUE
Corsican,co,,FALSE,TRUE
Dhivehi,dv,,FALSE,TRUE
Persian,fa,,FALSE,TRUE
Western Frisian,fy,,FALSE,TRUE
Manx,gv,,FALSE,TRUE
Serbo-Croatian,sh,,FALSE,TRUE
Ido,io,,FALSE,TRUE
Interlingue,ie,,FALSE,TRUE
Interlingua (International Auxiliary Language Association),ia,,FALSE,TRUE
Komi,kv,,FALSE,TRUE
Kurdish,ku,,FALSE,TRUE
Latin,la,,FALSE,TRUE
Latvian,lv,,FALSE,TRUE
Malagasy,mg,,FALSE,TRUE
Mongolian,mn,,FALSE,TRUE
Malay (macrolanguage),ms,,FALSE,TRUE
Nepali (macrolanguage),ne,,FALSE,TRUE
Norwegian,no,,FALSE,TRUE
Oriya (macrolanguage),or,,FALSE,TRUE
Iron Ossetic,os,,FALSE,TRUE
Pushto,ps,,FALSE,TRUE
Quechua,qu,,FALSE,TRUE
Romansh,rm,,FALSE,TRUE
Albanian,sq,,FALSE,TRUE
Swahili (macrolanguage),sw,swh_Latn,FALSE,FALSE
Uzbek,uz,,FALSE,TRUE
Volapük,vo,,FALSE,TRUE
Walloon,wa,,FALSE,TRUE
Yiddish,yi,ydd_Hebr,FALSE,FALSE
